,bbrefID,Date,G,Age,Team,is_away,Opp,win_loss,goals,assists,pts,plus_minus,pim,g_ev,g_pp,g_sh,g_gw,a_ev,a_pp,a_sh,shots,shooting_pct,shifts,toi,hits,blocks,fow,fol,fo_pct
0,oreilry01,2017-10-05,1,26-240,BUF,,MTL,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,26,20:27,0,0,15,10,60.0
1,oreilry01,2017-10-07,2,26-242,BUF,@,NYI,L,0,1,1,-1,0,0,0,0,0,0,0,1,2,0.0,22,19:09,1,0,13,5,72.2
0,weiseda01,2017-10-04,1,29-060,PHI,@,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:33,3,1,0,0,
1,weiseda01,2017-10-05,2,29-061,PHI,@,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,9:49,4,0,0,0,
2,weiseda01,2017-10-07,3,29-063,PHI,@,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,9:04,0,0,0,0,
0,shawan01,2017-10-05,1,26-077,MTL,@,BUF,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,15:15,0,0,6,1,85.7
1,shawan01,2017-10-07,2,26-079,MTL,@,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,18,15:55,0,0,0,2,0.0
2,shawan01,2017-10-08,3,26-080,MTL,@,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,16:36,0,0,3,3,50.0
0,simmowa01,2017-10-04,1,29-039,PHI,@,SJS,W,3,0,3,1,0,1,2,0,1,0,0,0,3,100.0,25,19:35,2,4,0,0,
1,simmowa01,2017-10-05,2,29-040,PHI,@,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,19:44,1,0,0,0,
2,simmowa01,2017-10-07,3,29-042,PHI,@,ANA,W,1,0,1,0,2,1,0,0,1,0,0,0,4,25.0,26,20:52,2,0,0,0,
0,hayeske01,2017-10-05,1,25-150,NYR,,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,18:07,1,0,5,4,55.6
1,hayeske01,2017-10-07,2,25-152,NYR,@,TOR,L,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,21,14:55,1,0,7,6,53.8
2,hayeske01,2017-10-08,3,25-153,NYR,,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:03,3,2,4,6,40.0
0,noesest01,2017-10-07,1,24-237,NJD,,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,14:25,2,0,0,0,
0,poulibe01,2017-10-05,1,31-006,BUF,,MTL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,14:03,2,0,0,1,0.0
1,poulibe01,2017-10-07,2,31-008,BUF,@,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:03,4,0,0,0,
0,boumala01,2017-10-05,1,27-194,CHI,,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,10:51,3,2,1,0,100.0
1,boumala01,2017-10-07,2,27-196,CHI,,CBJ,W,0,0,0,1,7,0,0,0,0,0,0,0,0,,11,7:45,4,0,1,0,100.0
0,tavarjo01,2017-10-06,1,27-016,NYI,@,CBJ,L,0,0,0,-2,2,0,0,0,0,0,0,0,4,0.0,23,18:41,0,2,11,7,61.1
1,tavarjo01,2017-10-07,2,27-017,NYI,,BUF,W,2,1,3,3,0,1,0,1,0,1,0,0,4,50.0,26,19:50,0,0,11,12,47.8
